,Meta Model,Meta Model OOS
Annual return,0.6331489064506166,-0.8448944945676052
Cumulative returns,0.233947733905695,-0.47059812205045004
Annual volatility,0.8480338854707096,2.7888764442598952
Sharpe ratio,0.9719158861336348,0.6865086636624004
Calmar ratio,1.583731157646764,-0.972261784998974
Stability,0.085410988199533,0.029540805616802
Max drawdown,-0.39978307138403496,-0.8689989749710227
Omega ratio,1.3312375289128178,1.23846782297584
Sortino ratio,1.7603711932651027,1.2231721512710685
Skew,2.4205499132056496,2.424032395459635
Kurtosis,18.234178771312923,20.526604784413614
Tail ratio,1.321137430822548,1.4808052162875258
Daily value at risk,-0.10357152208915607,-0.3437678343837494
