date_time,ret,trgt,bin,side
2020-03-20 13:25:00,0.01910596087541849,0.01,1,1.0
2020-03-20 16:30:00,0.051413801276622983,0.01,1,1.0
2020-03-20 20:25:00,0.1008066797345879,0.01,1,1.0
2020-03-20 20:30:00,0.16610602849241962,0.01,1,1.0
2020-03-20 20:35:00,0.2447264995548064,0.01,1,1.0
2020-03-21 09:45:00,0.34312853837602053,0.01,1,1.0
2020-03-22 12:00:00,0.4537237210985121,0.01,1,1.0
2020-03-22 12:10:00,0.5748474221562347,0.01,1,1.0
2020-03-22 12:15:00,0.7110941266635931,0.01,1,1.0
2020-03-22 12:20:00,0.8581134494188971,0.01,1,1.0
2020-03-22 18:40:00,0.9788017247303313,0.01,0,1.0
2020-03-23 09:05:00,1.1211421956978744,0.01,1,1.0
2020-03-23 09:40:00,1.2875701594918898,0.01,1,1.0
2020-03-26 08:05:00,1.4682296925652938,0.01,1,1.0
2020-03-26 13:35:00,1.6624810483506176,0.01,1,1.0
2020-03-27 23:55:00,1.8318326933273532,0.01,0,1.0
2020-03-28 00:00:00,2.013037930080379,0.01,1,1.0
2020-03-28 00:05:00,2.161669103734002,0.01,0,1.0
2020-03-28 17:55:00,2.3234089320204614,0.01,1,1.0
2020-03-28 18:00:00,2.49898218264155,0.01,1,1.0
2020-03-29 08:45:00,2.6459426112295565,0.01,0,1.0
2020-03-29 19:40:00,2.806441697917014,0.01,1,1.0
2020-04-01 00:25:00,2.9779970017930375,0.01,1,1.0
2020-04-01 00:30:00,3.1600464873799274,0.01,1,1.0
2020-04-03 15:35:00,3.352684910616723,0.01,1,1.0
2020-04-03 15:45:00,3.555616989129315,0.01,1,1.0
2020-04-05 17:15:00,3.771041539130707,0.01,1,1.0
2020-04-05 17:25:00,3.998603807788983,0.01,1,1.0
2020-04-07 15:15:00,4.20204822833734,0.01,0,1.0
2020-04-07 20:10:00,4.4161173398044165,0.01,1,1.0
2020-04-09 04:20:00,4.640592888242815,0.01,1,1.0
2020-04-10 03:50:00,4.839371050771331,0.01,0,1.0
2020-04-10 04:00:00,5.017360753245543,0.01,0,1.0
2020-04-10 05:20:00,5.172678983868851,0.01,0,1.0
2020-04-13 00:25:00,5.3426882631290775,0.01,1,1.0
2020-04-13 00:30:00,5.532078900255342,0.01,1,1.0
2020-04-20 11:55:00,5.731731431719548,0.01,1,1.0
2020-04-20 17:45:00,5.925577647669937,0.01,0,1.0
2020-04-24 14:30:00,6.131436198145317,0.01,1,1.0
2020-04-25 01:40:00,6.348037679988347,0.01,1,1.0
2020-04-30 09:20:00,6.529399322420817,0.01,0,1.0
2020-04-30 10:00:00,6.727571429390413,0.01,1,1.0
2020-04-30 16:45:00,6.90398739298859,0.01,0,1.0
2020-04-30 17:35:00,7.093461003645589,0.01,1,1.0
2020-04-30 17:40:00,7.300313272728328,0.01,1,1.0
2020-04-30 17:50:00,7.52261247577333,0.01,1,1.0
2020-05-03 06:15:00,7.755425448972324,0.01,1,1.0
2020-05-03 12:30:00,7.965527151407498,0.01,0,1.0
2020-05-03 12:40:00,8.153122342496873,0.01,0,1.0
2020-05-03 13:15:00,8.352084575610716,0.01,1,1.0
2020-05-03 13:20:00,8.526751438667107,0.01,0,1.0
2020-05-04 01:20:00,8.713521523745982,0.01,1,1.0
2020-05-04 01:30:00,8.879959250092236,0.01,0,1.0
2020-05-05 10:10:00,9.0584856547105,0.01,1,1.0
2020-05-05 10:20:00,9.250707457507906,0.01,1,1.0
2020-05-06 23:55:00,9.453647936614411,0.01,1,1.0
2020-05-07 00:00:00,9.66983191269889,0.01,1,1.0
2020-05-07 00:05:00,9.89629071348986,0.01,1,1.0
2020-05-08 06:15:00,10.135147834331338,0.01,1,1.0
2020-05-08 07:05:00,10.385023931787794,0.01,1,1.0
2020-05-09 00:00:00,10.647891930144569,0.01,1,1.0
2020-05-09 00:05:00,10.889769652499423,0.01,0,1.0
2020-05-09 04:55:00,11.109949001571048,0.01,0,1.0
2020-05-09 07:10:00,11.304974309621224,0.01,0,1.0
2020-05-09 07:40:00,11.511154944787226,0.01,1,1.0
2020-05-10 00:10:00,11.641044224957868,0.01,0,1.0
2020-05-10 00:15:00,11.745274470457115,0.01,0,1.0
2020-05-10 00:20:00,11.862077930845333,0.01,1,1.0
2020-05-10 00:25:00,12.000613064568872,0.01,1,1.0
2020-05-10 00:30:00,12.152621112767344,0.01,1,1.0
2020-05-10 15:15:00,12.280102877787211,0.01,0,1.0
2020-05-10 17:00:00,12.41845104971204,0.01,1,1.0
2020-05-11 10:05:00,12.566962799384498,0.01,1,1.0
2020-05-11 16:40:00,12.726727806440262,0.01,1,1.0
2020-05-11 16:45:00,12.860681460351525,0.01,0,1.0
2020-05-11 18:20:00,13.00767870164371,0.01,1,1.0
2020-05-15 02:30:00,13.166760278700522,0.01,1,1.0
2020-05-15 02:40:00,13.337727093041549,0.01,1,1.0
2020-05-15 15:45:00,13.484770502929042,0.01,0,1.0
2020-05-15 15:55:00,13.604846555845473,0.01,0,1.0
