,ret,trgt,bin
2017-11-10 12:55:00.000,-0.00011764705882355564,0.01,0
2017-11-12 17:35:00.000,0.0654474199869366,0.01,1
2017-11-15 09:00:00.000,-0.06761893084845516,0.01,-1
2017-11-17 01:10:00.000,0.03820106515878763,0.01,1
2017-11-18 14:05:00.000,-0.005699810006333128,0.01,0
2017-11-21 03:30:00.000,0.026178343949044613,0.01,1
2017-11-22 11:15:00.000,0.024207063496989534,0.01,1
2017-11-24 09:25:00.000,0.06678383128295251,0.01,1
2017-11-24 19:40:00.000,0.06170084439083223,0.01,1
2017-11-25 11:20:00.000,0.02823382378003747,0.01,1
2017-11-27 06:40:00.000,0.059668508287292976,0.01,1
2017-11-28 01:40:00.000,-0.01058394160583953,0.01,0
2017-11-29 02:35:00.000,0.05601517626600616,0.01,1
2017-11-29 14:20:00.000,-0.10179640718562866,0.01,-1
2017-11-29 22:30:00.000,0.09999999999999987,0.01,1
2017-11-30 05:50:00.000,-0.09818181818181804,0.01,-1
2017-11-30 18:20:00.000,0.13961693548387077,0.01,1
2017-12-01 19:00:00.000,0.036905990466362004,0.01,1
2017-12-03 07:45:00.000,0.147914691943128,0.01,1
2017-12-04 02:55:00.000,0.10230791461954514,0.01,1
2017-12-04 18:10:00.000,0.09171573438011116,0.01,1
2017-12-05 06:45:00.000,-0.018502565639162638,0.01,0
2017-12-06 04:55:00.000,-0.041785918717801795,0.01,-1
2017-12-06 23:10:00.000,0.11031461569096002,0.01,1
2017-12-07 10:25:00.000,-0.08536585365853677,0.01,-1
2017-12-08 00:40:00.000,-0.07211764705882362,0.01,-1
2017-12-08 09:30:00.000,0.1833396728794221,0.01,1
2017-12-08 17:50:00.000,-0.10711096824886601,0.01,-1
2017-12-09 15:00:00.000,-0.07196000000000002,0.01,-1
2017-12-10 02:50:00.000,0.07094521787853969,0.01,1
2017-12-10 14:55:00.000,0.0378717752646196,0.01,1
2017-12-11 06:15:00.000,0.04312083139444689,0.01,1
2017-12-11 23:35:00.000,-0.0469516728624535,0.01,-1
2017-12-13 00:35:00.000,0.11908569645434341,0.01,1
2017-12-13 08:10:00.000,-0.014855901632985447,0.01,0
2017-12-13 18:00:00.000,0.1296165052366327,0.01,1
2017-12-14 02:55:00.000,0.03516904844893687,0.01,1
2017-12-14 08:25:00.000,-0.02727364557729206,0.01,-1
2017-12-14 12:00:00.000,0.05022672989719257,0.01,1
2017-12-14 19:25:00.000,0.05468029004614383,0.01,1
2017-12-15 03:30:00.000,0.05622050689084035,0.01,1
2017-12-15 12:30:00.000,0.12092431504822776,0.01,1
2017-12-15 17:10:00.000,0.1059786195064012,0.01,1
2017-12-15 19:50:00.000,0.078758949880668,0.01,1
2017-12-16 00:50:00.000,0.0839328537170263,0.01,1
2017-12-16 11:20:00.000,-0.04867256637168149,0.01,-1
2017-12-16 15:40:00.000,0.0930000000000002,0.01,1
2017-12-16 23:10:00.000,0.10000212770484462,0.01,1
2017-12-17 03:00:00.000,0.011624983075108064,0.01,1
2017-12-17 04:50:00.000,0.07074569789674934,0.01,1
2017-12-17 07:55:00.000,0.0359464285714286,0.01,1
2017-12-17 09:00:00.000,0.06010721734783586,0.01,1
2017-12-17 10:35:00.000,0.05691056910569081,0.01,1
2017-12-17 11:55:00.000,-0.06038461538461526,0.01,-1
2017-12-17 12:35:00.000,-0.04283258288988945,0.01,-1
2017-12-17 13:15:00.000,0.016866521835816384,0.01,1
2017-12-17 14:20:00.000,-0.041147278997392345,0.01,-1
2017-12-17 15:50:00.000,0.05247460481762811,0.01,1
2017-12-17 18:45:00.000,0.056552598672044097,0.01,1
2017-12-17 23:55:00.000,-0.18486414402400397,0.01,-1
2017-12-18 01:05:00.000,0.10427402862985691,0.01,1
2017-12-18 01:45:00.000,0.09259430730198703,0.01,1
2017-12-18 05:40:00.000,0.08635769393654824,0.01,1
2017-12-18 08:05:00.000,-0.05083137002322069,0.01,-1
2017-12-18 12:25:00.000,-0.042767857142857246,0.01,-1
2017-12-18 14:45:00.000,0.024158194198302452,0.01,1
2017-12-18 17:25:00.000,0.025500910746812266,0.01,1
2017-12-18 23:25:00.000,0.05660746003552397,0.01,1
2017-12-19 01:15:00.000,0.050666532183502255,0.01,1
2017-12-19 02:50:00.000,-0.04001535975424397,0.01,-1
2017-12-19 05:00:00.000,0.04483333333333328,0.01,1
2017-12-19 07:40:00.000,-0.023687988514914604,0.01,-1
2017-12-19 09:55:00.000,-0.05326362225308379,0.01,-1
2017-12-19 10:20:00.000,-0.03008024851151969,0.01,-1
2017-12-19 10:50:00.000,0.10076153873527627,0.01,1
2017-12-19 11:35:00.000,-0.08510466337994005,0.01,-1
2017-12-19 12:00:00.000,0.019399293286219255,0.01,1
2017-12-19 12:30:00.000,0.012245614035087726,0.01,1
2017-12-19 13:35:00.000,-0.05601580644043136,0.01,-1
2017-12-19 15:00:00.000,0.06486615503249737,0.01,1
2017-12-19 19:00:00.000,-0.034466111484680706,0.01,-1
2017-12-19 23:30:00.000,-0.1339285714285715,0.01,-1
2017-12-20 00:35:00.000,0.055608247422680446,0.01,1
2017-12-20 01:25:00.000,0.06438669438669442,0.01,1
2017-12-20 02:40:00.000,0.0410766255835302,0.01,1
2017-12-20 04:05:00.000,-0.016885553470919246,0.01,0
2017-12-20 05:30:00.000,-0.026022304832713727,0.01,-1
2017-12-20 07:35:00.000,0.04770992366412208,0.01,1
2017-12-20 11:05:00.000,-0.016193078324226007,0.01,0
2017-12-20 14:05:00.000,-0.0252911443965117,0.01,-1
2017-12-20 18:00:00.000,0.013391585145787754,0.01,1
2017-12-21 01:55:00.000,0.04404873477038418,0.01,1
2017-12-21 07:15:00.000,-0.03276481149012567,0.01,-1
2017-12-21 12:25:00.000,-0.08146635730858476,0.01,-1
2017-12-21 14:45:00.000,-0.0359899769631814,0.01,-1
2017-12-21 15:20:00.000,0.0921287076826327,0.01,1
2017-12-21 16:35:00.000,0.09691138387687648,0.01,1
2017-12-21 22:00:00.000,-0.06884836852207288,0.01,-1
2017-12-22 02:15:00.000,-0.0515325788963783,0.01,-1
2017-12-22 04:10:00.000,-0.1435681220524635,0.01,-1
2017-12-22 07:25:00.000,0.10888928362981187,0.01,1
2017-12-22 09:00:00.000,0.02633987825529771,0.01,1
2017-12-22 10:55:00.000,-0.1532475640482508,0.01,-1
2017-12-22 14:00:00.000,0.07673267326732658,0.01,1
2017-12-22 15:15:00.000,-0.04512105649303,0.01,-1
2017-12-22 17:50:00.000,0.179997438852606,0.01,1
2017-12-22 21:55:00.000,-0.02361469841338759,0.01,-1
2017-12-23 02:20:00.000,-0.018917416916749974,0.01,0
2017-12-23 05:05:00.000,0.03448588389903473,0.01,1
2017-12-23 09:50:00.000,0.04038899596986156,0.01,1
2017-12-23 13:45:00.000,-0.02387368421052638,0.01,-1
2017-12-23 15:50:00.000,0.013652245179657685,0.01,1
2017-12-23 23:45:00.000,-0.09002319198280839,0.01,-1
2017-12-24 00:55:00.000,-0.09514122708567152,0.01,-1
2017-12-24 02:50:00.000,0.13178635106850312,0.01,1
2017-12-24 08:30:00.000,0.1689536290782896,0.01,1
2017-12-24 14:05:00.000,-0.08527510302935604,0.01,-1
2017-12-24 19:55:00.000,0.09292592829842206,0.01,1
2017-12-25 01:00:00.000,0.026628895184136026,0.01,1
2017-12-25 04:55:00.000,0.04281799497602168,0.01,1
2017-12-25 07:10:00.000,0.13471294572794634,0.01,1
2017-12-25 08:50:00.000,-0.07230620778385333,0.01,-1
2017-12-25 10:05:00.000,0.032365994036474444,0.01,1
2017-12-25 12:25:00.000,0.05502846299810238,0.01,1
2017-12-25 13:55:00.000,0.06507993015646973,0.01,1
2017-12-25 15:40:00.000,0.0630610555803146,0.01,1
2017-12-25 16:15:00.000,0.019703548435394458,0.01,1
2017-12-25 17:00:00.000,-0.04854197868029253,0.01,-1
2017-12-25 19:15:00.000,0.01001543209876532,0.01,1
2017-12-25 23:05:00.000,0.016043025867469307,0.01,1
2017-12-26 02:20:00.000,0.034286229868118356,0.01,1
2017-12-26 03:00:00.000,0.06618299190159771,0.01,1
2017-12-26 03:45:00.000,0.018668775824685513,0.01,1
2017-12-26 04:45:00.000,-0.02945113788487297,0.01,-1
