,Meta Model,Meta Model OOS
Annual return,20.735131588620074,-0.9968559892354067
Cumulative returns,3.8956000992299185,-0.8807516338041904
Annual volatility,1.4663451485285266,4.950209749162248
Sharpe ratio,2.8401451817939525,1.8497705031128326
Calmar ratio,36.855662552591205,-1.003872855774646
Stability,0.6298442080891146,0.12325354298051032
Max drawdown,-0.5626036856353367,-0.9930102039328232
Omega ratio,1.7064783492615292,1.4894038719695104
Sortino ratio,4.602082879297354,3.208523763505395
Skew,0.10781381417724091,1.3227615006292543
Kurtosis,3.04162338834342,8.077099442461282
Tail ratio,1.080251857921164,0.9831866876598979
Daily value at risk,-0.16821580191218405,-0.5873314890018528
